city,state,lat,lon
Aaronsburg,PA,40.8769,-77.3880
Abbeville,AL,31.5755,-85.2790
Abbeville,GA,31.9648,-83.3068
Abbeville,LA,29.9588,-92.1427
Abbeville,MS,34.4556,-89.5688
Abbeville,SC,34.1819,-82.3785
Abbot,ME,45.2798,-69.5251
Abbotsford,WI,44.9641,-90.2994
Abbott,TX,31.8916,-97.0671
Abbottstown,PA,39.8881,-76.9931
Abbyville,KS,37.9626,-98.2071
Abell,MD,38.2496,-76.7441
Abercrombie,ND,46.4478,-96.7300
Aberdeen,ID,42.9767,-112.8181
Aberdeen,KY,37.2539,-86.6817
Aberdeen,MD,39.5109,-76.1805
Aberdeen,MS,33.8284,-88.5380
Aberdeen,NC,35.1216,-79.4450
Aberdeen,OH,38.6709,-83.7637
Aberdeen,SD,45.4661,-98.4856
Aberdeen,WA,46.9843,-123.7963
Aberdeen Proving Ground,MD,39.4724,-76.1303
Abernant,AL,33.2903,-87.1981
Abernathy,TX,33.8500,-101.8611
Abie,NE,41.3479,-96.9563
Abilene,KS,38.9371,-97.2063
Abilene,TX,32.4682,-99.7182
Abingdon,IL,40.8023,-90.4009
Abingdon,MD,39.4744,-76.2997
Abingdon,VA,36.6916,-82.0200
Abington,CT,41.8606,-72.0072
Abington,MA,42.1167,-70.9543
Abington,PA,40.1281,-75.1289
Abiquiu,NM,36.1769,-106.2449
Abita Springs,LA,30.4837,-90.0041
Abrams,WI,44.7869,-88.0571
Absaraka,ND,47.0144,-97.3888
Absarokee,MT,45.5154,-109.4692
Absecon,NJ,39.4624,-74.5031
Acampo,CA,38.2004,-121.2186
Accident,MD,39.6355,-79.3085
Accokeek,MD,38.6720,-77.0162
Accomac,VA,37.7159,-75.6803
Accord,MA,42.1747,-70.8871
Accord,NY,41.8083,-74.2353
Accoville,WV,37.7686,-81.8372
Ace,TX,30.5361,-94.8242
Achille,OK,33.8333,-96.3869
Achilles,VA,37.2800,-76.4406
Ackerly,TX,32.6091,-101.7951
Ackerman,MS,33.3517,-89.2014
Ackermanville,PA,40.8648,-75.2073
Ackley,IA,42.5527,-93.0608
Ackworth,IA,41.3737,-93.3767
Acme,LA,31.3016,-91.8216
Acme,MI,44.7719,-85.5014
Acme,PA,40.1049,-79.4827
Acme,WA,48.6752,-122.1914
Acosta,PA,40.1103,-79.0692
Acra,NY,42.3304,-74.0857
Acton,CA,34.4835,-118.1959
Acton,MA,42.4751,-71.4483
Acton,ME,43.5494,-70.9307
Acton,MT,45.9370,-108.6810
Acushnet,MA,41.6997,-70.9087
Acworth,GA,34.0658,-84.6769
Acworth,GA,34.0756,-84.6477
Acworth,NH,43.2178,-72.2925
Ada,MI,42.9566,-85.4810
Ada,MN,47.3156,-96.5036
Ada,OH,40.7709,-83.8154
Ada,OK,34.7800,-96.6924
Adah,PA,39.8831,-79.8908
Adair,IA,41.5137,-94.6444
Adair,IL,40.3852,-90.5037
Adair,OK,36.4115,-95.2732
Adairsville,GA,34.3595,-84.9176
Adairville,KY,36.6914,-86.8585
Adak,AK,55.9997,-161.2078
Adamant,VT,44.3575,-72.5046
Adams,KY,37.9914,-82.7024
Adams,MA,42.6223,-73.1172
Adams,MN,43.5591,-92.7305
Adams,ND,48.4223,-98.0867
Adams,NE,40.4576,-96.5396
Adams,NY,43.8161,-76.0543
